ID	name_text_cn	name_text_en	class1_text_cn	class1_text_en	class2_text_cn	class2_text_en	art	skill_text_cn	skill_text_en	story_text_cn	story_text_en
30003	鲜血契约	Blood Contract	黑暗	Dark	圣物	Holy	0	【唯一】\n②，力竭:你失去2点生命，你抓一张牌。	【Unique】\n②,Exhaust:You lost 2 life, you draw a card.	与恶魔签下契约必定支付相应的代价！	
30004	吸血鬼之牙	Vampire's Teeth	黑暗	Dark	圣物	Holy	ERON	【唯一】\n②，力竭:目标生物获得【吸血】直到回合结束。	【Unique】\n②,Exhaust:Target creature gains 【Suckblood】 until end of turn.	起初只是宴会上的一个恶作剧道具，然而一位邪恶（好事）的法师，将诅咒注入其中……佩戴这幅假牙的人，因此获得吸取他人生命的能力，而变得异常嗜血。	
30005	亡者之噬	The Dead Bite	黑暗	Dark	圣物	Holy	GILYONG	【唯一】\n③，力竭:对目标生物或玩家造成1点伤害，你获得1点生命。该技能只能在你的回合中使用。	【Unique】\n③,Exhaust:Deals 1 damage to target creature or player, you gain 1 life.Activate this ability only during your turn.	这把邪恶的匕首上刻满了怪异的恶魔文字。每次攻击都会吸取敌人的力量，缓缓的补充持有者的生命力。	
30006	黑暗之心	Heart of Dark	黑暗	Dark	圣物	Holy	SSUK	【唯一】【瞬间】\n④，力竭:抓一张牌，该技能只能在你的回合中使用。	【Unique】【Instant】\n④,Exhaust:Draw a card.Activate this ability only during your turn.	光芒消退，暗日掩没。每当此事成真，大地将陷入黑暗和寂静。	
40001	毁灭戒指	Doom Rings	毁灭	Doom	圣物	Holy	団長！			“无序与混沌是吾等力量之翼。”\n                      ——费斯坦洛菲尔的信条	
40002	硫磺法杖	Sulphur Stick	毁灭	Doom	圣物	Holy	ZZW	【唯一】\n②，力竭:对目标生物造成1点伤害。该技能只能在你的回合中使用。	【Unique】\n②,Exhaust:Deals 1 damage to target creature. Activate this ability only during your turn.	杖头镶嵌了一块很大的硫磺石，使用者只需注入一点魔力，便能点燃法杖，向目标扔出一个火球。	
40003	博多的战盾	Boldog's Shield	毁灭	Doom	圣物	Holy	ZZW	【唯一】\n②，力竭:向对手造成1点伤害。	【Unique】\n②,Exhaust:Deals 1 damage to opponent.	这个布满伤痕的盾牌背面刻着一行小字：“以牙还牙，以血还血。”	
40004	博多的战斧	Boldog's Battle-Ax	毁灭	Doom	圣物	Holy	ZZW	【唯一】\n②，力竭:目标生物获得+1/+0。	【Unique】\n②,Exhaust:Target creature gets +1/+0.	兽人督军博多留下的斧头。斧头只由一个粗糙的刀刃和木制的柄子所组成，但其上的刻满了神秘的萨满文字。虽然你看不懂文字的意思，但拿着斧头的时候，你会明显感觉到一股充满全身的力量。	
40005	战争号角	War Horn	毁灭	Doom	圣物	Holy	ZZW	【唯一】\n④，力竭:友方所有生物获得+2/+0直到回合结束。	【Unique】\n④,Exhaust:Friendly creatures get +2/+0 until end of turn.	当号角响起时，无数兽人如潮水般涌向敌人。	
40006	战争头盔	War Helmet	毁灭	Doom	圣物	Holy	ZZW	【唯一】【瞬间】\n④，力竭:抓一张牌，该技能只能在你的回合中使用。	【Unique】【Instant】\n④,Exhaust:Draw a card.Activate this ability only during your turn.	它最初是一位兽人英雄的装备，在那位兽人英雄死后，这头盔数次易主，接着再一次冲突中落入博多的手中。	
50001	自然戒指	Nature Rings	自然	Nature	圣物	Holy	ZZW			生于自然，侍于自然。\n                          ——尼雅娜亚的信条	
50002	大地之环	Earthen Ring	自然	Nature	圣物	Holy	ZZW	【唯一】\n②，力竭:目标生物获得+1/+1直到回合结束。	【Unique】\n②,Exhaust:Target creature gets +1/+1 until end of turn.	德鲁伊通过大地之环与森林沟通，从而获得强化自身的魔力。	
50003	尼雅娜亚的眼泪	NiyaNoah's Teardrop	自然	Nature	圣物	Holy	ZZW	【唯一】\n②，力竭:防止目标友方生物本回合受到和造成的所有战斗伤害。	【Unique】\n②,Exhaust:Prevent all combat damage that would be dealt to and dealt by target friendly creature this turn.	“眼看争斗一触即发，女神流下了眼泪。霎间泪水化作大雾，将万物笼罩，纷争就此平息……”\n                           ——精灵远古的歌谣	
50004	永恒的星光	Eternal Starlight	自然	Nature	圣物	Holy	ZZW	22&【唯一】\n③，力竭:目标生物获得+1/+1，该技能只能在你的攻击回合中使用。	【Unique】\n③,Exhaust:Target friendly creatures get +1/+1. Activate this ability only during your turn.	柳德米拉爬上了树冠，小心翼翼地摘下了这颗宝石。当握住宝石的刹那间，她便感到一股神奇的力量涌入身体。	
50005	自然呼唤	Nature Call	自然	Nature	圣物	Holy	ZZW	21&【唯一】\n⑤，力竭:如果你牌库顶牌是生物，则将其放置于你的防线上。该技能只能在你的攻击回合中使用。	21&【Unique】\n⑤,Exhaust:If the top card of your library is a creature,put it onto your defence-line. Activate this ability only during your turn.	“仔细聆听大自然的呼吸。” \n                             自然猎者柳德米拉	
50006	世界树果实	World Tree Fruit	自然	Nature	圣物	Holy	ZZW	【唯一】【瞬间】\n④，力竭:抓一张牌，该技能只能在你的回合中使用。	【Unique】【Instant】\n④,Exhaust:Draw a card. Activate this ability only during your turn.	尽管果实被摘下来已经很久很久了，但仍旧充满生命活力，就像刚从树上摘下来一样。	
90000	试炼者印记	The Trial Marking	圣物	Holy	0	0	BOOTA				
90001	试炼者印记	The Trial Marking	圣物	Holy	0	0	BOOTA				
90002	试炼者印记	The Trial Marking	圣物	Holy	0	0	BOOTA				
90003	试炼者印记	The Trial Marking	圣物	Holy	0	0	BOOTA				
90004	试炼者印记	The Trial Marking	圣物	Holy	0	0	BOOTA				
90005	试炼者印记	The Trial Marking	圣物	Holy	0	0	BOOTA				
90006	试炼者印记	The Trial Marking	圣物	Holy	0	0	BOOTA				
90007	地精包围网	Goblin's Snare	毁灭	Doom	圣物	Holy	0	力竭:在你的防线放置一个地精劫匪衍生物。	Exhaust:put a Goblin Robber token onto your defence-line.		
90008	横扫	Swept	秩序	Order	圣物	Holy	0	③，力竭:对前线上所有敌方生物和对手造成1点伤害。	③,Exhaust:Deals 1 damage to enemy creatures in battlefront and deals 1 damage to opponent.	0	0
90009	重击	Thump	秩序	Order	圣物	Holy	0	④，力竭:向对手造成4点伤害。	④,Exhaust:Deals 4 damage to opponent.	0	0
90010	帝国军旗	Imperial Ensign	秩序	Order	圣物	Holy	0	④，力竭:在你的防线上放置一个精锐骑士衍生物。	④,Exhaust:Put a Elite Knights token onto your defence-line.		
90011	迪普米斯的制裁	Depomis's Punish	秩序	Order	圣物	Holy	0	①，力竭:对目标前线上的生物造成2点伤害。	①,Exhaust:Deals 2 damage to target creature in battlefront.		
90012	恶魔之炎	Demon's Fire	毁灭	Doom	圣物	Holy	0	③:对所有敌方生物和对手造成2点伤害。	③:Deals 2 damage to all enemy crertures and opponent.		
90013	新绿成长	Verdant Growth	自然	Nature	圣物	Holy	0	③:所有友方自然生物获得+1/+1。	③:All friendly Nature creatures get +1/+1.		
90014	死亡召唤	Death Call	黑暗	Dark	圣物	Holy	0	④，力竭:将目标生物从你的墓地移至你的防线上。	④,Exhaust:Put taget creature in your graveyard onto your defence-line.		
90015	鲜血献祭	Blood Sacrifice	黑暗	Dark	圣物	Holy	0	③，力竭:消灭目标友方生物，使对手受到X点伤害，X为该生物的攻击力。	③,Exhaust:Destroy target friendly creature, deals X damage to opponent,where X is its power.		
90016	鼓舞	Inspire	自然	Nature	圣物	Holy	0	④，力竭:你获得3点生命，抓一张牌。	④,Exhaust:You gain 3 life, draw a card.	0	0
90017	盗窃	Theft	心灵	Mind	圣物	Holy	0	②，力竭:将对手牌库顶一张牌置于你的手牌。	②,Exhaust:Puts the top a card of opponent's library into your hand.	0	0
90018	背刺	Backstab	黑暗	Dark	圣物	Holy	0	②，力竭:目标生物获得-1/-1。	②,Exhaust:Target creature gets -1/-1.	0	0
90019	斩杀	Beheaded	黑暗	Dark	圣物	Holy	0	③，力竭:消灭目标受伤的生物。	③,Exhaust:Destroy target wounded creature.	0	0
90020	血刃	Blood Blade	毁灭	Doom	圣物	Holy	0	②，力竭:目标生物获得+1/+0和连击技能直到回合结束。	②,Exhaust:Target creature gets +1/+0 and gains 【Double strike】 until end of turn.	0	0
90021	能量核心	Energy Core	秩序	Order	圣物	Holy	0	①，力竭:治疗目标友方屏障1点伤害。	①,Exhaust:Health 1 damage to target friendly Barrier.	0	0
90022	幻象水晶	Phantom Crystal	圣物	Holy	0	0	0			0	0
100000	粘土魔像	Clay Golem	造物	Artifact	魔像	Golem	0	##	##	使用黏土制成的魔像——在后面几乎还是湿的。	
100001	连结魔像	Connect Golem	造物	Artifact	魔像	Golem	0	##\n所有其他魔像获得+1/+1。	##\nOther Golems get +1/+1.	为了验证这些古老魔像之间是否存在某种联系，探险队付出了沉重的代价。	
100002	宝库看守	Trove Watcher	造物	Artifact	魔像	Golem	0	##【守护】\n【死亡】:所有玩家抓一张牌。	##【Guardian】\n【Die】:Each players draws a card.	“事成之后咱俩一定要平分！”\n～某盗贼团成员最后的遗言	
100003	喷火傀儡	Spitfire Puppet	造物	Artifact	魔像	Golem	0	##\n每当喷火傀儡在你的回合攻击时，获得+3/+0直到回合结束。	##\nWhenever Spitfire Puppet attacks in your turn, it gets +3/+0 until end of turn.	它的创造者或许无法想象当机器投入战争时造成了多么恐怖的地狱光景。	
100004	黑曜石守卫	Obsianus Guard	造物	Artifact	魔像	Golem	0	##【守护】	##【Guardian】	只有精通矿石雕刻的矮人才能利用这种黑色的石头制作出如此非凡的工艺品。	
100005	青铜哨兵	Bronze Sentinel	造物	Artifact	魔像	Golem	0	##【警戒】【先攻】	##【Vigilance】【First strike】	这个魔像采用青铜版工艺精心雕铸而成，看似沉重笨拙，实则行动起来非常敏捷。	
100006	锈蚀铁卫	Protector Rust	造物	Artifact	魔像	Golem	0	##\n你的回合开始时，锈蚀铁卫获得-1/-1。	##\nAt the begin of your turn, Rust of the Protector gets -1/-1.	“我不是说过很多遍了吗？记得保养啊！”\n～矮人工匠师	
100007	顽石魔像	Rock Golem	造物	Artifact	魔像	Golem	0	##【迟缓】	##【Slowly】	“这的确是一件了不起的工艺品，可惜太迟钝了。”\n～天之都商人	
100008	自爆魔像	Volatile Golem	造物	Artifact	魔像	Golem	0	##\n【死亡】:随机对敌方一个生物或玩家造成4点伤害。	##\n【Die】:Deals 4 damage to a creature or player at random.	“第一，敲碎它的脑袋。”\n“第二，赶紧找个安全的地方躲起来。”\n“第三……砰！”	
100009	骑士雕像	Knight Statue	造物	Artifact	魔像	Golem	0	##【冲锋】	【Charge】	“我不确定这家伙是否具有骑士精神，但可以肯定的是它帮助我赢得了两次骑士大赛的冠军。”	
100010	奏乐魔像	Altar Golem	造物	Artifact	魔像	Golem	0	##\n【死亡】:你获得4点生命。	##\n【Die】:You gain 4 life.	亚薇音乐家所召唤出的魔像，提供了对抗亡灵时坚实又可当炮灰的第一道防线。	
100011	拼装魔像	Patchwork Golem	造物	Artifact	魔像	Golem	0	##\n每个回合结束时，治疗拼装魔像受到的所有伤害。	##\nAt the end of each turn, Patchwork Golem heal all damage.	「非常肯定的是，这些魔像会利用同伴的残骸修复自身的损伤。」\n～托马斯的研究笔记	
100012	远古守卫沃伊泰克	Wojtek,Ages Protector	造物	Artifact	魔像	Golem	0	##【传奇】【践踏】\n⑧:远古守卫沃伊泰克获得+8/+8。	##【Legend】【Tramp】\n⑧:Wojtek,Ages Protector Gets +8/+8.	千年以来沃伊泰克一直守护在这里，绝不放过任何一个胆敢擅闯古代矮人王国的人。	
100013	训练假人	Training Doll	造物	Artifact	0	0	0	##【警戒】【守护】	##【Vigilance】【Guardian】	“新兵！看清楚，这里才是要害部位！不要砍偏了！”	
100014	先知高塔	Prophet Tower	造物	Artifact	0	0	0	##【警戒】【守护】\n你的回合开始时，你抓一张牌。	##【Vigilance】【Guardian】\nAt the beginning of your turn,you draw a card.	每当蓝月处于一年至高位的月圆之刻，魔兰迪亚信徒都会聚集在图书馆中作连续一整夜的静思。这一天被信徒们称为“纯夜”。	0
100015	烈焰之塔	Fire Tower	造物	Artifact	0	0	0	##【警戒】【守护】\n对手回合结束时，对所有敌方生物造成1点伤害。	##【Vigilance】【Guardian】\nAt the end of the opponent's turn, deals 1 damage to enemy creatures.	在天罚之年期间，巴那姆的法师为了对抗亡灵大军而建造了无数的魔法防御塔。	
100016	小型魔像	Miniature Golem	造物	Artifact	魔像	Golem	0	##	##	学院制造了大量的魔像，主要用来帮忙完成各种体力杂活。	
100017	奥术守卫	Arcane Guard	造物	Artifact	魔像	Golem	0	##【迟缓】	##【Slowly】	奥术守卫平时给人呆头呆脑的感觉，然而一旦学院受到威胁，它们会立马变为一台残酷的杀戮机器。	
100018	魔兰迪亚祭坛	Malandia Altar	造物	Artifact	祭坛	Altar	0	##【警戒】【守护】\n每当你献祭时，所有玩家抓一张牌。	##【Vigilance】【Guardian】\nWhenever you offering, each players draw a card.	魔兰迪亚的信徒致力于发掘奥秘与分享知识，没有什么比这些更能感受到愉悦了。	
100019	尼雅娜亚祭坛	NiyaNoah Altar	造物	Artifact	祭坛	Altar	0	##【警戒】【守护】\n每当你献祭时，额外获得①法力。	##【Vigilance】【Guardian】\nWhenever you offering, get an additional ① mana.	「尼雅娜亚使得植物从原本一无所有的土地上生长出来。她从自然的泥土和他的生命之水中创造动物，以助我们生存。」	
100020	阿泽拉丝祭坛	Aselass Altar	造物	Artifact	祭坛	Altar	0	##【警戒】【守护】\n每当你献祭时，随机将己方墓地中的一张生物牌移回你的手牌。	##【Vigilance】【Guardian】\nWhenever you offering, return a creature from your graveyard at random to your hand.	只要是有利的，死亡都可以利用起来。	
100021	费斯坦洛菲尔祭坛	Fistanrofer Altar	造物	Artifact	祭坛	Altar	0	##【警戒】【守护】\n每当玩家献祭时，该玩家受到2点伤害。	##【Vigilance】【Guardian】\nWhenever a player offering,deals 2 damage to him.		
100022	迪普米斯祭坛	Depomis Altar	造物	Artifact	祭坛	Altar	0	##【警戒】【守护】\n每当你献祭时，随机一个敌方生物无法造成战斗伤害直到对手回合结束。	22&##【Vigilance】【Guardian】\nWhenever you offering, a enemy creature at random unable to deals combat damage until end of opponent's turn.	「在庄严的击锤声中，我从梦中醒转。我犯了罪，在这和平的梦乡中，我被迪普米斯传唤。我因为我深爱着一个女人，却对另一个觊觎不已。我们在迪普米斯的面前，秩序之神降下了他的判决。」	
100023	荒野稻草人	Wild-Field Scarecrow	造物	Artifact	稻草人	Scarecrow	0	##\n荒野稻草人不会受到战斗伤害。	##\nPrevent all combat damage to Wild-Field Scarecrow.		
100024	0	0	0	0	0	0	0				
110000	斗犬	Hound	野兽	Beast	0	0	0	##【先攻】	##【First strike】	法安城的卫兵们很喜欢驯养这种狗只充当警卫。	
110001	先锋兵	Vanguard Soldier	人类	Human	士兵	Soldier	0	##【护盾1】	##【Shield 1】	“勇往直前！”	
110002	颂恩天使	Angel of Carolgrace	天使	Angel	0	0	0	##【祝福】【飞行】\n颂恩天使处于领域上时，获得+1/+1。	##【Blessing】【Flying】\nAngel of Carol Grace gets +1/+1 when it on the domain.	「赞美你，天父，向着你惊人的上升！\n你上升，照耀，令诸天向一旁滚动。\n你是众神之王，万物之主，\n我们自你而来，因你而成神圣。」\n～天使的赞歌	
110003	轻步兵	Light Infantry	人类	Human	士兵	Soldier	0	##\n【显现】:目标生物获得+2/+0直到回合结束。	##\n【Emerge】:Target creature gets +2/+0 until end of turn.	他忠于自己的岗位，虽然偶尔还是会偷懒打瞌睡。	
110004	拉多娜医师	Ladonna's Surgeon	人类	Human	祭司	Priest	0	##\n你的回合开始时，你获得1点生命。	##\nAt the begin of the your turn, you gain 1 life.	拉多娜的医师多半直属于“医护骑士”的组织之下，她们以仁慈怜悯之心，与高超的医疗护理技巧为世间的人所认知。	
110005	铸甲师	Cast Armor Division	人类	Human	士兵	Soldier	0	##\n【显现】:目标生物获得【护盾1】。	##\n【Emerge】:Target creature gains 【Shield 1】.	好剑助你胜利，好盾保你一命。	
110006	防御专家	Defense Expert	人类	Human	士兵	Soldier	0	##\n友方其他士兵获得+0/+1。	##\nOther friendly Soldiers get +0/+1.	当作战不利时，有效的防御也会成为扭转战局的关键。	
110007	封魔师	Seal Mage	人类	Human	法师	Mage	0	##\n【显现】:封印目标生物。	##\n【Emerge】:Seal target creature.	在死灵横行的年代，封魔师无论在哪都倍受欢迎。	
110008	杰出队长	Preeminent Captain	人类	Human	士兵	Soldier	0	##\n友方其他士兵获得+1/+0。	##\nOther friendly Soldiers get +1/+0.		
110009	刃跃者	Blade Leaper	人类	Human	杀手	Assasin	0	##【闪现】【先攻】	##【Flash】【First strike】	其疾如风，侵掠如火。	
110010	宫廷医师	Palace Surgeon	人类	Human	祭司	Priest	0	##\n【显现】:你获得2点生命。	##\n【Emerge】:You gain 2 life.		
110011	长弓箭手	Longbow Archer	人类	Human	士兵	Soldier	0	##【先攻】【制空】	##【First strike】【Reach】		
110012	天翼城督军	Heavenwing Governor 	人类	Human	骑士	Knight	0	##【先攻】【闪现】\n每当天翼城督军对玩家造成战斗伤害，在你的防线上放置一个帝国新兵衍生物。	20&##【Flash】【First strike】\nWhenever Governor of Heavenwing deals combat damage to a player, put a Empire Recruit token onto your defence-line.	天翼城作为天之都最大的军事要塞，其管理者必定具有极高的战斗技艺和军事才能。	
110013	掌旗兵	Standard Bearer	人类	Human	士兵	Soldier	0	##\n【显现】:友方所有生物获得+1/+1直到回合结束。	##\n【Emerge】:Friendly creatures get +1/+1 until end of turn.		
110014	猎隼	Saker	鸟	Bird	0	0	0	##【飞行】【先攻】	##【Flying】【First strike】	这些鹰视力极好并能警告主人即将到来的危险。 	
110015	前线指挥官	Frontline Commander	人类	Human	士兵	Soldier 	0	##\n其他友方秩序生物+1/+1。	##\nOther friendly Order creatures get +1/+1.	这名军官从队伍后发号施令。他响亮的吼声传遍战场。 	
110016	圣殿骑士	Knights Templar	人类	Human	骑士	Knight	0	##【先攻】\n友方士兵具有【先攻】技能。	22&##【First strike】\nFriendly Soldiers have 【First strike】.		
110017	拉多娜祭司	Ladonna's Priest	人类	Human	祭司	Priest	0	##\n你的回合结束时，治愈友方所有生物1点伤害。	##\nAt the end of your turn,health 1 damage to friendly creatures.	比起低阶的医师，拉多娜的祭司可使用更强大的治疗法术。	
110018	重装步兵	Heavy Infantry	人类	Human	士兵	Soldier 	0	##【护盾1】	##【Shield 1】	士兵们毫无畏惧的屹立在最前线，形成一道钢铁般的护墙。	
110019	皇家狮鹫	Royal Griffin	鸟	Bird	0	0	0	##【飞行】【护盾1】	##【Flying】【Shield 1】	这些训练有素的狮鹫只会忠于皇室成员。一般人胆敢触碰它们只会成为利爪和尖喙下的牺牲品。	
110020	捕灵鸟	Soulcatch Bird	鸟	Bird	0	0	0	##【飞行】\n①:消灭自己和目标前线上的生物。	##【Flying】\n①:Destroy itself and target creature in battlefront.		
110021	信仰庇护者爱奥拉	Aiola,Faith Patron	天使	Angel	0	0	0	##【传奇】【飞行】【祝福】\n每当你获得生命时，友方所有生物获得+1/+1。	##【Legend】【Flying】【Blessing】\nWhenever you gain life,friendly creatures get +1/+1.		
110022	方阵兵团长	Phalanx Leader	人类	Human	士兵	Soldier	0	22&##\n友方士兵获【护盾2】技能。\n【显现】:在你的防线上放置三个帝国新兵生物。	21&##\nFriendly Soldiers have【Shield 2】.\n【Emerge】:Put three Empire Recruit tokens onto your defence-line.	他们意志坚定，纪律严明，即使城墙被毁，他们仍坚定地筑起防线，以替代城墙。	
110023	先祖之灵	Ancestral Spirit	圣灵	Spirit	0	0	0	##【飞行】\n每当先祖之灵在自己回合攻击时，将墓地中随机一张领域牌移回手中。	20&##【Flying】\nWhenever Ancestral Spirit attacks in your turn, return a domain from your graveyard to your hand at random.		
110024	巴洛亚神像	Basoa Colossus	造物	Artifact	魔像	Golem	0	##【警戒】【守护】\n其他友方生物+2/+2。	##【Vigilance】【Guardian】\nOther friendly creatures get +2/+2.	谨遵吾父之意，我欲斩奸除恶。	
110025	坚毅天使	Resolute Angel	天使	Angel	0	0	0	##【飞行】【闪现】\n【显现】:防止友方生物和玩家本回合受到的所有伤害。	20&##【Flying】【Flash】\n【Emerge】:Prevent all damage that would be dealt to friendly creatures and player this turn.		
110026	天国守护使	Angelic Protector	天使	Angel	0	0	0	##【飞行】【闪现】【祝福】【守护】【机动2】	25&##【Flying】【Flash】【Blessing】【Guardian】【Mobility 2】	他是神的使者，正义的化身，真理的守护者。	
110027	秩序守护者马高	Mago,Order Guardian	人类	Human	圣武士	Paladin	0	##【传奇】【机动1】\n防止对秩序守护者马高造成的所有伤害。	22&##【Legend】【Mobility 1】\nPrevent all damage that would be dealt to Mago,Order Guardian.	“任何制度都需要秩序的保障，而我们就是秩序的最有力保障！”	
110028	亚微族旅者	Aries Traveler	亚微	Ari	诗人	Minstrel	0	##\n【显现】:治疗目标生物或玩家2点伤害。	##\n【Emerge】:Health 2 damage to target creature or player.		
110029	旅行诗人	Travel Bard	亚微	Ari	诗人	Minstrel	0	##\n力竭:目标生物获得+0/+1直到回合结束。	##\nExhaust:Target creature gets +0/+1 until end of turn.		
110030	西丝卡歌咏者	Siska Singer	亚微	Ari	诗人	Minstrel	0	##\n你的回合开始时，治疗自身1点伤害。	##\nAt the end of your turn, health 1 damage by itself.		
110031	剑舞者	Blade Dancer	亚微	Ari	战士	Warrior	0	##\n每当你获得生命时，剑舞者获得+1/+1。	##\nWhenever you gain life, Blade Dancer gets +1/+1。	亚微族人或许并不是出色的战士，但他们能借助女神的祝福，获得几倍于自身的力量。	0
110032	西丝卡领唱人	Siska Cantor	亚微	Ari	诗人	Minstrel	0	##\n每当一个生物获得治疗时，你抓一张牌。	##\nWhenever a creature is healed, you draw a card.		0
110033	皇城护卫	Imperial Guard	亚微	Ari	战士	Warrior	0	##\n每当一个生物获得治疗时，皇城护卫获得+1/+1。	##\nWhenever a creature is healed, Imperial Guard gets +1/+1.	尽管亚微大陆有隔世之墙的保护，但皇城的守卫们仍忠于自己的岗位，防范警惕艾斯的再次入侵。	0
110034	圣所修行僧	Sanctum Monk	人类	Human	祭司	Priest	0	##\n【显现】:将你墓地中目标领域牌移回你的手牌。	##\n【Emerge】:Return target Domain from your graveyard to your hand.		0
110035	重型巨弩	Heavy Ballista	造物	Artifact	0	0	0	##\n力竭:对目标前线上的生物造成2点伤害。	##\nExhaust:Deals 2 damage to target creature in battlefront.		0
110036	祈愿僧	Wish Monk	人类	Human	祭司	Priest	0	##\n每当你使用一张领域牌时，你抓一张牌。	##\nWhenever you use a Domain card, you draw a card.		0
110037	寂静守卫	Keeper of Silence	亚微	Ari	祭司	Priest	0	##【闪现】\n生物不会触发【显现】技能。	23&##【Flash】\nCreatures don't trigger 【Emerge】 ability.		0
110038	辉光大天使	Blazing Archangel	天使	Angel	0	0	0	##【飞行】\n每当一个生物获得治疗时，在你的防线上放置一个帝国新兵生物。	##【Flying】\nWhenever a creature is healed, put a Empire Recruit token onto your defence-line.		0
110039	水手	Sailor	人类	Human	士兵	Soldier	0	##	##	尽量别招惹这些粗鲁的人。	0
110040	船工	Carpenter	人类	Human	士兵	Soldier	0	##	##	今天他心情很不好，你还是别去招惹他。	0
110041	千羽城守卫	FeatherCapital Guard	人类	Human	士兵	Soldier	0	##【祝福】	##【Blessing】		0
